site,var,val,sd
A,ICPMSavg,23.73372898,7.605052
A,AAavg,23.03708481,7.423175
B,ICPMSavg,16.91288128,5.061063
B,AAavg,15.50460616,4.938439
C,ICPMSavg,34.00937498,16.94234
C,AAavg,26.44938752,13.255133
D,ICPMSavg,12.96789352,4.465855
D,AAavg,8.835090934,3.752835
E,ICPMSavg,19.49183351,8.835607
E,AAavg,13.28980762,7.027076
F,ICPMSavg,11.55539929,7.996302
F,AAavg,7.030558153,5.138097
QC,ICPMSavg,57.83113336,11.280586
QC,AAavg,48.3741412,9.76807
